package,old,new,delta
modeltests,0.1.4,0.1.4,
brio,1.1.4,1.1.4,
callr,3.7.3,3.7.3,
cli,3.6.2,3.6.2,
crayon,1.5.2,1.5.2,
desc,1.4.3,1.4.3,
diffobj,0.3.5,0.3.5,
digest,0.6.34,0.6.34,
dplyr,1.1.4,1.1.4,
evaluate,0.23,0.23,
fansi,1.0.6,1.0.6,
fs,1.6.3,1.6.3,
generics,0.1.3,0.1.3,
glue,1.7.0,1.7.0,
jsonlite,1.8.8,1.8.8,
lifecycle,1.0.4,1.0.4,
magrittr,2.0.3,2.0.3,
pillar,1.9.0,1.9.0,
pkgbuild,1.4.3,1.4.3,
pkgconfig,2.0.3,2.0.3,
pkgload,1.3.4,1.3.4,
praise,1.0.0,1.0.0,
processx,3.8.3,3.8.3,
ps,1.7.6,1.7.6,
purrr,1.0.2,1.0.2,
R6,2.5.1,2.5.1,
rematch2,2.1.2,2.1.2,
rlang,1.1.3,1.1.3,
rprojroot,2.0.4,2.0.4,
testthat,3.2.1,3.2.1,
tibble,3.2.1,3.2.1,
tidyselect,1.2.0,1.2.0,
utf8,1.2.4,1.2.4,
vctrs,0.6.5,0.6.5,
waldo,0.5.2,0.5.2,
withr,3.0.0,3.0.0,
